number;ProjectID;RequirementText;class;NFR;F;A;FT;L;LF;MN;O;PE;PO;SC;SE;US
1985;npac.doc_1985;NPAC SMS shall, after displaying the Pending-Like No-Active Subscription Version(s) report to the screen, allow the NPAC Personnel to choose an output destination for the report, when NPAC Personnel are re-scheduling a Block Creation request for immediate execution. (Previously N-79.2);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1986;npac.doc_1986;NPAC SMS shall, continue to display the Pending-Like No-Active Subscription Version(s) report, to the screen, and allow the NPAC Personnel to choose additional output destinations one at a time, for the report, until the NPAC Personnel requests the closure of the report window, when NPAC Personnel are re-scheduling a Block Creation request for immediate execution. (Previously N-79.3);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1987;npac.doc_1987;NPAC SMS shall provide output destination options for the Pending-Like No-Active Subscription Version(s) Report, based on the error message in RR3-83.1, that include print, fax, e-mail, stored to a file, when NPAC Personnel are re-scheduling a Block Creation request for immediate execution. (Previously N-79.4);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1988;npac.doc_1988;NPAC SMS shall require NPAC personnel to specify the NPA-NXX-X Holder SPID, the NPA-NXX-X, and the Effective Date, as defined in the Number Pooling NPA-NXX-X Holder Information data model. (Previously N-80);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1989;npac.doc_1989;NPAC SMS shall validate that the NPA-NXX-X Holder SPID is a valid Service Provider in the NPAC SMS. (Previously N-90);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1990;npac.doc_1990;NPAC SMS shall reject the request and issue an error message to the NPAC personnel at the time of NPA-NXX-X Creation, if there are any TNs within the 1K Block of that NPA-NXX-X, or in a 1K Block of the corresponding old/new NPA-NXX-X belonging to an NPA-NXX scheduled for or currently in an NPA split, that contain an SV, with a status of pending/conflict/cancel-pending/failed, and where a currently active SV does NOT exist, for the given TN. (Previously N-100);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1991;npac.doc_1991;NPAC SMS shall reject the request and issue an error message to the NPAC personnel at the time of NPA-NXX-X Creation, if there are any TNs within the 1K Block, that contain an SV, with a status of pending/conflict/cancel-pending/failed, and where the SV is a Port-To-Original port, for the given TN. (Previously N-110);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1992;npac.doc_1992;NPAC SMS shall provide an error dialog that displays the unique error message described in RR3-86 and RR3-87, and provides an option for the NPAC Personnel to either, exit the NPA-NXX-X Create request, or generate the Pending-Like No-Active Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, in the report format listed in RR9-11, RR9-12, RR9-13, and RR9-14, to the screen on the NPAC Administrative Interface. (Previously N-130.1);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1993;npac.doc_1993;NPAC SMS shall, after displaying the Pending-Like No-Active Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, to the screen, allow the NPAC Personnel to choose an output destination for the report. (Previously N-130.2);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1994;npac.doc_1994;NPAC SMS shall, continue to display the Pending-Like No-Active Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, to the screen, and allow the NPAC Personnel to choose additional output destinations one at a time, for the report, until the NPAC Personnel requests the closure of the report window. (Previously N-130.3);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1995;npac.doc_1995;NPAC SMS shall provide output destination options, as listed in R9-2, for the Pending-Like No-Active Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, based on the error condition in RR3-88.1. (Previously N-131);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1996;npac.doc_1996;NPAC SMS shall provide a NPA-NXX-X Holder Effective Date Window tunable parameter which is defined as the minimum length of time between the current date (exclusive) and the effective date (inclusive), when Creating a NPA-NXX-X in the NPAC SMS. (Previously N-140);F;0;1;0;0;0;0;0;0;0;0;0;0;0
1997;npac.doc_1997;NOTE: If the current date is Tuesday the 2nd, the tunable is set to 5 business days, and the port is using short business days (i.e., Monday-Friday), then the minimum effective date for the NPA-NXX-X would be Tuesday the 9th.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
1998;npac.doc_1998;NPAC SMS shall default the NPA-NXX-X Holder Effective Date Window tunable parameter to five (5) business days.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
1999;npac.doc_1999;NOTE: The value of five (5) business days is selected because of the first port notifier, and this would affect SPs operationally if this value is set to less than five business days. (Previously N-150);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2000;npac.doc_2000;NPAC SMS shall verify that the Effective Date for the NPA-NXX-X Holder data is equal to, or greater than, the current date plus the value of the NPA-NXX-X Holder Effective Date Window tunable parameter, excluding those automatically created by NPA Split processing. (Previously N-160);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2001;npac.doc_2001;NPAC SMS shall set the time portion of the Effective Date Timestamp to 00:00 Central Time, and not allow the NPAC Personnel to modify the Time portion of the Effective Date, on the NPAC Administrative Interface. (Previously N-170);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2002;npac.doc_2002;NPAC SMS shall, upon successful validation, store the NPA-NXX-X in the NPAC SMS, and broadcast the NPA-NXX-X to the Service Providers. (Previously N-180);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2003;npac.doc_2003;NPAC SMS shall allow NPAC personnel to modify the effective date for an NPA-NXX-X as stored in the NPAC SMS via the NPAC Administrative Interface. (Previously N-190);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2004;npac.doc_2004;NPAC SMS shall allow the NPAC personnel to modify the effective date for an NPA-NXX-X if the current date is less than the effective date for the NPA-NXX-X. (Previously N-200);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2005;npac.doc_2005;NPAC SMS shall, upon modifying the effective date for an NPA-NXX-X, and where the Block Creation was a scheduled event within the NPAC SMS, also modify the corresponding date for that Block Create scheduled event. (Previously N-210);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2006;npac.doc_2006;NPAC SMS shall allow the NPAC SMS Administrator to modify the NPA-NXX-X Holder Effective Date Window tunable parameter. (Previously N-220);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2007;npac.doc_2007;NPAC SMS shall verify that the modification of the Effective Date for the NPA-NXX-X Holder data is equal to, or greater than, the current date. (Previously N-225);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2008;npac.doc_2008;NPAC SMS shall verify that the modification of the Effective Date for the NPA-NXX-X Holder data is equal to, or greater than, the NPA-NXX-X Holder creation date plus the value of the NPA-NXX-X Holder Effective Date Window tunable parameter. (Previously N-230);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2009;npac.doc_2009;NPAC SMS shall, upon successful validation, store the updates to the NPA-NXX-X in the NPAC SMS, and broadcast the updated NPA-NXX-X to the Service Providers. (Previously N-235);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2010;npac.doc_2010;NPAC SMS shall allow NPAC personnel to delete the NPA-NXX-X holder information for an NPA-NXX-X as stored in the NPAC SMS. (Previously N-240);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2011;npac.doc_2011;NPAC SMS shall allow NPAC personnel to delete the NPA-NXX-X holder information for a single NPA-NXX-X at a time, via the NPAC Administrative Interface. (Previously N-245);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2012;npac.doc_2012;NPAC SMS shall reject the request and issue an error message to the NPAC personnel at the time of NPA-NXX-X Deletion, if there are any TNs within the 1K Block, that contain an SV with a status of pending/conflict/cancel-pending/failed where the Old SP is equal to the NPA-NXX-X Holder SPID, and the current active SV is LNP Type of POOL. (Previously N-250);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2013;npac.doc_2013;NPAC SMS shall reject the request and issue an error message to the NPAC personnel at the time of NPA-NXX-X Deletion, if there are any TNs within the 1K Block, that contain an SV, where the SV is a Port-To-Original port. (Previously N-260);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2014;npac.doc_2014;NPAC SMS shall reject the request and issue an error message to the NPAC personnel at the time of NPA-NXX-X Deletion, if the associated Block, contains a status other than Active, or the Failed SP List contains any SPIDs. (Previously N-265);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2015;npac.doc_2015;NPAC SMS shall reject the request and issue an error message to the NPAC personnel at the time of NPA-NXX-X Deletion, if there are any Subscription Versions with a status of sending, as a result of a disconnect request for that given Subscription Version. (Previously N-270);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2016;npac.doc_2016;NPAC SMS shall provide an error dialog that displays the unique error message described in RR3-104 and RR3-105, and provides an option for the NPAC Personnel to either, exit the NPA-NXX-X Delete request, or generate the Pending-Like With Active POOL Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, in the report format listed in RR9-15, RR9-16, RR9-17, and RR9-18, to the screen on the NPAC Administrative Interface. (Previously N-280.1);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2017;npac.doc_2017;NPAC SMS shall, after displaying the Pending-Like With Active POOL Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, to the screen, allow the NPAC Personnel to choose an output destination for the report. (Previously N-280.2);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2018;npac.doc_2018;NPAC SMS shall, continue to display the Pending-Like With Active POOL Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, to the screen, and allow the NPAC Personnel to choose additional output destinations one at a time, for the report, until the NPAC Personnel requests the closure of the report window. (Previously N-280.3);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2019;npac.doc_2019;NPAC SMS shall provide output destination options, as listed in R9-2, for the Pending-Like With Active POOL Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, based on the error condition in RR3-108.1. (Previously N-281);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2020;npac.doc_2020;NPAC SMS shall delete the NPA-NXX-X Holder Information for a 1K Block, through a multi-step process that includes: (Previously N-290)  Broadcasting the delete of SVs to non-EDR Local SMSs, Broadcasting the delete of Blocks to the EDR Local SMSs, Receiving a successful response from all EDR and non-EDR Local SMSs, Updating all SVs and Blocks on the NPAC SMS, Deleting the NPA-NXX-X Holder information from the NPAC SMS, Broadcasting the delete of NPA-NXX-X to the NPA-NXX-X enabled SOAs and Local SMSs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
2021;npac.doc_2021;NPAC SMS shall only delete the NPA-NXX-X Holder Information after successfully updating all associated SVs and Blocks to a status of Old with NO Failed SP List. (Previously N-295);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2022;npac.doc_2022;NPAC SMS shall delete an associated Block Create Scheduled Event, that has not been executed, when deleting the NPA-NXX-X Holder Information. (Previously N-297);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2023;npac.doc_2023;NPAC SMS shall allow NPAC personnel, Service Provider SOA via the SOA to NPAC SMS Interface, Local SMS via the NPAC SMS to Local SMS Interface, or Service Provider SOA via the NPAC SOA Low-tech Interface, to query the NPA-NXX-X holder information for all data as listed in the NPA-NXX-X Holder Information Data Model, for an NPA-NXX-X as stored in the NPAC SMS. (Previously N-340);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2024;npac.doc_2024;NPAC SMS shall return to the NPAC Personnel or requesting Service Provider all NPA-NXX-Xs that match the query selection criteria, as listed in the NPA-NXX-X Holder Information Data Model, for an NPA-NXX-X as stored in the NPAC SMS. (Previously N-360);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2025;npac.doc_2025;NPAC SMS shall provide to NPAC Personnel only, an indicator on the NPAC Administrative Interface, only after completing a query, if an associated Block Create Scheduled Event, that has not been executed, exists in the NPAC SMS. (Previously N-365);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2026;npac.doc_2026;NPAC SMS shall provide a separate bulk data download file that contains all NPA-NXX-Xs in the NPAC SMS, when generating bulk data download files for Network Data. (Previously N-373);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2027;npac.doc_2027;NPAC SMS shall apply NPA-NXX Filters to NPA-NXX-Xs in the creation of a bulk data download file. (Previously N-374);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2028;npac.doc_2028;NPAC SMS shall automatically put the NPA-NXX-X bulk data download file into the FTP sub-directory of the Service Provider, based on SPID, that requested the creation of the bulk data download file for Network Data. (Previously N-375);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2029;npac.doc_2029;NPAC SMS shall allow NPAC Personnel to add, modify, or query Block Holder information via the NPAC Administrative Interface. (Previously B-10);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2030;npac.doc_2030;NPAC SMS shall download Number Pooling Block Information, for additions, modifications, deletions, re-sends, and resync using the Number Pooling Block Object, via the NPAC SMS to Local SMS Interface if the EDR indicator is TRUE, at the time a request is processed by the NPAC SMS. (Previously B-20);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2031;npac.doc_2031;NPAC SMS shall download Number Pooling Block Information, for additions, modifications, deletions, re-sends, and resyncs, using individual subscription versions with LNP Type of POOL, for the TNs within the range of the 1K Block, via the NPAC SMS to Local SMS Interface if the EDR indicator is FALSE, at the time a request is processed by the NPAC SMS. (Previously B-30);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2032;npac.doc_2032;NPAC SMS shall use the EDR Indicator when processing a request for Number Pooling Block Information, but not during the retry functionality (“x by y” [where “x” is the number of attempts, and “y” is the interval in number of minutes in between attempts]). (Previously B-32);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2033;npac.doc_2033;NPAC SMS shall maintain data integrity for LRN and GTT data, between a Number Pooling Block and the corresponding Subscription Versions with LNP Type of POOL in that 1K Block, in the NPAC SMS. (Previously B-34);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2034;npac.doc_2034;NPAC SMS shall verify the Block Holder SPID attribute of the Block object matches the SPID in the accessControl for SOA Block Activation. (Previously B-40);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2035;npac.doc_2035;NPAC SMS shall verify the SPID of the accessControl matches the owner of the association or one of its secondary providers. (Previously B-50);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2036;npac.doc_2036;NPAC SMS shall, upon receiving a block activate request, validate that the SPID and the NPA-NXX-X attributes in the request are the same as the SPID and the NPA-NXX-X in a single entry in the NPA-NXX-X Holder Information. (Previously B-60);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2037;npac.doc_2037;NPAC SMS shall reject a request to create a Block if the current date is prior to the effective date of the Number Pooling NPA-NXX-X as defined in the NPAC SMS. (Previously B-70);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2038;npac.doc_2038;NPAC SMS shall validate that the LRN specified in the addition or modification of Number Pooling Block Holder information is a valid LRN defined in the NPAC SMS for the Block Holder. (Previously B-80);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2039;npac.doc_2039;NPAC SMS shall validate that the NPA-NXX-X specified in the addition of Number Pooling Block Holder Information does not already exist in the Number Pooling Block Holder Information, except for a status of Old where the Block’s Failed SP List is empty. (Previously B-90);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2040;npac.doc_2040;NPAC SMS shall set the SOA Origination to TRUE for Blocks sent over the SOA to NPAC SMS Interface or for Blocks sent over the NPAC SOA Low-tech Interface, and to FALSE for Blocks that were created by NPAC personnel, except where the value will be maintained from the Old Block, as a result of an NPA Split. (Previously B-100);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2041;npac.doc_2041;NPAC SMS shall report an error to the user and reject the addition or modification of Number Pooling Block Holder information if validation errors occur as defined in RR3-124, RR3-125, RR3-126, RR3-127, RR3-128, RR3-129, RR3-146, and RR3-149. (Previously B-110);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2042;npac.doc_2042;NPAC SMS shall send all SOA notifications to the current SP (the block holder) for updates on Blocks, when the Block SOA Origination is TRUE. (Previously B-120);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2043;npac.doc_2043;NPAC SMS shall suppress all SOA notifications to the current SP (the block holder) for updates on Blocks, when the Block SOA Origination is FALSE. (Previously B-130);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2044;npac.doc_2044;NPAC SMS shall consider an EDR Local SMS to be discrepant and shall update the Block Failed SP List, based on an EDR Local SMS failing to process the Block Object, for an addition, modification, deletion, re-send, resync, or mass update. (Previously B-140);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2045;npac.doc_2045;NPAC SMS shall consider a non-EDR Local SMS to be discrepant and shall update the Block Failed SP List, based on a non-EDR Local SMS failing to process one or more Subscription Versions, with LNP Type of POOL, within the Block, for an addition, modification, deletion, re-send, resync, or mass update. (Previously B-150);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2046;npac.doc_2046;NPAC SMS shall send the Block Failed SP List, to the current SP (the block holder) via the SOA to NPAC SMS Interface, along with the SOA notification for status update of the Block, when the Block SOA Origination is TRUE, and the broadcast to one or more Local SMSs fail. (Previously B-160);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2047;npac.doc_2047;NPAC SMS shall ensure that the status for Block broadcasts to EDR Local SMSs and Subscription Versions with LNP Type of POOL broadcasts to non-EDR Local SMSs, are synchronized, by performing the following: (Previously B-165.1) The status for the Block and Subscription Versions shall cross-reference one another and contain the results of the broadcast of the Block to the EDR Local SMSs, and the broadcast of the Subscription Versions to the non-EDR Local SMSs, The status for each Subscription Version shall only be set, once the broadcasts of the Block to all EDR and Subscription Versions to non-EDR Local SMSs has been completed, and a response has been received by all EDR and non-EDR Local SMSs or retries have been exhausted, The status for the Block shall only be set, once the broadcasts of the Block to all EDR and Subscription Versions to non-EDR Local SMSs has been completed, and a response has been received by all EDR and non-EDR Local SMSs or retries have been exhausted, The status for the Block shall reflect the information contained in Tables RR3-137.2, RR3-137.3, and RR3-137.4.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
2048;npac.doc_2048;NPAC SMS shall set the status of a Block for Block Modification, based on the data contained in Table RR3-137.3. (Previously B-165.3);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2049;npac.doc_2049;NPAC SMS shall set the status of a Block for Block Deletion, based on the data contained in Table RR3-137.4.  (Previously B-165.4);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2050;npac.doc_2050;NPAC SMS shall ensure that the Block Failed SP List and the Subscription Versions Failed SP Lists for Block broadcasts to EDR Local SMSs and Subscription Versions broadcasts to non-EDR Local SMSs, are synchronized, by performing the following: (Previously B-166.1) The Block Failed SP List for the Block and Subscription Versions Failed SP Lists for the Subscription Versions shall cross-reference one another and contain the results of the broadcast of the Block to the EDR Local SMSs, and the broadcast of the Subscription Versions to the non-EDR Local SMSs, The Subscription Versions Failed SP Lists for the Subscription Versions shall be set, based on the results of the Block broadcasts to all EDR Local SMSs and the Subscription Version broadcasts to all non-EDR Local SMSs, and a response has been received by all EDR and non-EDR Local SMSs or retries have been exhausted, for Activations, Modifications, and Deletions, The Block Failed SP List for the Block shall be set, based on the results of the Block broadcasts to all EDR Local SMSs and the Subscription Version broadcasts to all non-EDR Local SMSs, and a response has been received by all EDR and non-EDR Local SMSs or retries have been exhausted, The Block Failed SP List for the Block shall be based on the summary of all Subscription Versions with LNP Type of POOL within the 1K Block, The Block Failed SP List for the Block shall reflect the information contained in Table RR3-138.2.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
2051;npac.doc_2051;NPAC SMS shall set the Block Failed SP List of a Block for updates, based on the data contained in Table RR3-138.2.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
2052;npac.doc_2052;NPAC SMS shall remove an EDR Service Provider from ALL subscription version's Failed SP List when the Service Provider is no longer on the Block Failed SP List. (Previously B-168);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2053;npac.doc_2053;NPAC SMS shall generate a unique alarmable error message when a Block’s status is initially set to either Partial Failure or Failed, for Block Activation requests initiated by NPAC Personnel. (Previously B-169.1.1);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2054;npac.doc_2054;NPAC SMS shall generate a unique alarmable error message when a Block’s status is updated to Active with a Failed SP List, for each occurrence, for Block Modification requests initiated by NPAC Personnel. (Previously B-169.2);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2055;npac.doc_2055;NPAC SMS shall generate a unique alarmable error message when a Block’s status is updated to Old with a Failed SP List, for Block Deletion requests that were initiated through the NPA-NXX-X deletion by NPAC Personnel. (Previously B-169.3);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2056;npac.doc_2056;NPAC SMS shall provide a mechanism to send a recurring page to NPAC Personnel, based on a configurable interval, when a unique alarmable error message is generated as defined in RR3-141.1, RR3-141.3, or RR3-141.4. (Previously B-169.6);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2057;npac.doc_2057;NPAC SMS shall provide a mechanism to stop the recurring page to NPAC Personnel, whenever the Block’s status is set to Active AND the Block Failed SP List is empty, or, the Block’s status is set to Old AND the Block Failed SP List is empty. (Previously B-169.7);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2058;npac.doc_2058;NPAC SMS shall apply NPA-NXX Filters to Block broadcasts to the Local SMS(s). (Previously B-560);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2059;npac.doc_2059;NPAC SMS shall allow NPAC personnel, Service Provider via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, to request the creation of a Number Pooling Block. (Previously B-170);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2060;npac.doc_2060;NPAC SMS shall reject a request to create a Block by a Service Provider via the NPAC SMS to Local SMS Interface, and will return an error message to the LSMS. (Previously B-175);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2061;npac.doc_2061;NPAC SMS shall require NPAC personnel or Service Provider via the SOA to NPAC SMS Interface to specify the Block Holder SPID, the NPA-NXX-X, and the initial routing information, as defined in the Number Pooling Block Holder Information. (Previously B-180);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2062;npac.doc_2062;NPAC SMS shall reject the request and issue a unique alarmable error message to the NPAC personnel at the time of Block Creation for an NPAC initiated request, from the NPAC Administrative Interface, if there are any TNs within the 1K Block, that contain an SV, with a status of pending/conflict/cancel-pending/failed, and where a currently active SV does NOT exist, for the given TN. (Previously B-190);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2063;npac.doc_2063;NPAC SMS shall reject the request and issue an error message to the SOA at the time of Block Creation from the SOA via the SOA to NPAC SMS Interface, if there are any TNs within the 1K Block, that contain an SV, for a given TN in the 1K Block, with a status of pending/conflict/cancel-pending/failed, and where a currently active SV does NOT exist, for the given TN. (Previously B-210);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2064;npac.doc_2064;NPAC SMS shall perform field-level data validations to ensure that the value formats for the following input data, is valid according to the formats specified in the Subscription Version Data Model upon Block creation for a Number Pool: (Previously B-250);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2065;npac.doc_2065;NPAC SMS shall, upon successfully creating a Block, set the Block’s status to sending, and broadcast an addition of a Block, to EDR Local SMSs, via the NPAC SMS to Local SMS Interface. (Previously B-260);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2066;npac.doc_2066;NPAC SMS shall update the Activation Broadcast Complete Timestamp of the Block upon completion of the broadcast, and the FIRST successful response, for either an EDR or non-EDR Local SMS. (Previously B-265);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2067;npac.doc_2067;NPAC SMS shall update the status of the Block upon completion of the Activation broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-137.1 and RR3-137.2. (Previously B-270);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2068;npac.doc_2068;NPAC SMS shall update the Block Failed SP List upon completion of the Activation broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-138.1, and RR3-138.2. (Previously B-275);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2069;npac.doc_2069;NPAC SMS shall allow NPAC Personnel to modify the SOA Origination Indicator on the NPAC Block record, via the NPAC Administrative Interface. (Previously B-315);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2070;npac.doc_2070;NPAC SMS shall suppress the broadcast to a Local SMS, of a modification to a Block’s SOA Origination Indicator. (Previously B-317);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2071;npac.doc_2071;NPAC SMS shall suppress the creation of a Block modification notification, when the Block’s SOA Origination Indicator is modified to FALSE. (Previously B-318);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2072;npac.doc_2072;NPAC SMS shall allow NPAC personnel, Service Provider via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, to modify the block holder default routing information (LRN, DPC(s), and SSN(s)), for a 1K Block as stored in the NPAC SMS. (Previously B-320);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2073;npac.doc_2073;NPAC SMS shall reject a request to modify a Block by a Service Provider via the NPAC SMS to Local SMS Interface, and will return an error message to the LSMS. (Previously B-325);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2074;npac.doc_2074;NPAC SMS shall allow a Service Provider via the SOA to NPAC SMS Interface or Service Provider via the NPAC SOA Low-tech Interface, to modify Block data for Blocks where the Block Holder SPID matches the Service Provider making the request. (Previously B-330);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2075;npac.doc_2075;NPAC SMS shall allow a Service Provider via the SOA to NPAC SMS Interface, to modify Block data by specifying either Block ID, or NPA-NXX-X value and status, in the request. (Previously B-332);NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2076;npac.doc_2076;NPAC SMS shall reject and issue an error message to NPAC personnel, Service Provider via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, when modifying block holder data, for a 1K Block as stored in the NPAC SMS, and the Block’s current status is not active, or the Block has at least one Service Provider in the Failed SP List. (Previously B-335);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2077;npac.doc_2077;NPAC SMS shall, upon processing a valid request to modify a Block, update the status of the Block, at the start of the broadcast of a Block modification to the Local SMSs, from an active status to a sending status. (Previously B-340);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2078;npac.doc_2078;NPAC SMS shall, upon successfully modifying a Block and setting the Block’s status to sending, broadcast a modification of a Block to EDR Local SMSs, via the NPAC SMS to Local SMS Interface. (Previously B-350);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2079;npac.doc_2079;NPAC SMS shall update the Modify Broadcast Complete Timestamp of the Block upon completion of the broadcast, and the FIRST successful response, for either an EDR or non-EDR Local SMS. (Previously B-355);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2080;npac.doc_2080;NPAC SMS shall update the status of the Block upon completion of the Modification broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-137.1 and RR3-137.3. (Previously B-360);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2081;npac.doc_2081;NPAC SMS shall update the Block Failed SP List upon completion of the broadcast, and a response from ALL EDR and non-EDR Local SMSs, or retries are exhausted, as defined in RR3-138.1, and 3-138.2. (Previously B-370);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2082;npac.doc_2082;NPAC SMS shall create an old Block with a new version id for an active Block prior to modification. (Previously B-380);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2083;npac.doc_2083;NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Block with a new version id for an active Block prior to modification. (Previously B-390);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2084;npac.doc_2084;NPAC SMS shall not allow NPAC Personnel to request a delete of a Block in the NPAC SMS.NOTE: This is initiated at the NPA-NXX-X level, and is part of a multi-step “cascading delete” process. (Previously B-400);F;0;1;0;0;0;0;0;0;0;0;0;0;0
2085;npac.doc_2085;NPAC SMS shall reject a request to delete a Block by a Service Provider via the SOA to NPAC SMS interface, and will return an error message to the SOA. (Previously B-410);F;0;1;0;0;0;0;0;0;0;0;0;0;0
